Source;Accessible au public;Tarif;Accessibilite PMR;Indications de localisation;Type;Horaires d'ouverture;Relais bébé;coord_geo;osm_id;nom_de_la_commune;code_geogrephique_commune;nom_departement;code_geographique_departement
Openstreetmap;;;;;Toilettes publiques;;;48.8627324444383, 2.3346522805533;way/452685616;Paris;75056;Paris;75
Autres;;Gratuit;Oui;;TOILETTES;;Oui;48.83992843351192, 2.4407682089981737;;Paris;75056;Paris;75
Autres;;Gratuit;Oui;;SANISETTE;24 h / 24;;48.85162683107906, 2.3251801379515964;;Paris;75056;Paris;75
Autres;;Gratuit;Oui;;TOILETTES;;Non;48.844575826781394, 2.3876622985220606;;Paris;75056;Paris;75
Autres;;Gratuit;Oui;;SANISETTE;6 h - 22 h;;48.86517142314814, 2.2751581698302874;;Paris;75056;Paris;75
Autres;;Gratuit;Oui;;SANISETTE;24 h / 24;;48.87786391435843, 2.3812508300153157;;Paris;75056;Paris;75
Autres;;Gratuit;Non;;TOILETTES;;Non;48.84127764690941, 2.285555470451857;;Paris;75056;Paris;75
Autres;;Gratuit;Oui;;SANISETTE;6 h - 1 h;;48.85869214568334, 2.3839455513954175;;Paris;75056;Paris;75
Openstreetmap;;Gratuit;;;Toilettes publiques;;;48.876238699723, 2.3681844;node/11132828131;Paris;75056;Paris;75
Openstreetmap;;;;;Toilettes publiques;;;48.7329385997586, 2.3316746;node/11298777366;Wissous;91689;Essonne;91
Openstreetmap;;Gratuit;Non;Toilette Tour Eiffel;Toilettes publiques;;;48.8584293997274, 2.2957348;node/1168595158;Paris;75056;Paris;75
Openstreetmap;;Gratuit;Oui;;Toilettes publiques (Toilettes assises);;;48.8289773997347, 2.3280012;node/1369995319;Paris;75056;Paris;75
Openstreetmap;;Gratuit;Oui;;Toilettes publiques (Toilettes assises);;;48.8840231997211, 2.3042137;node/1369995841;Paris;75056;Paris;75
Openstreetmap;;Gratuit;Oui;;Toilettes publiques;;;48.8396420997321, 2.3617492;node/493340481;Paris;75056;Paris;75
Openstreetmap;;Gratuit;Oui;;Toilettes publiques (Toilettes assises);24/7;;48.8840735997211, 2.3534008;node/5267714925;Paris;75056;Paris;75
Openstreetmap;;Gratuit;;;Toilettes publiques;;;48.8915452997192, 2.3315758;node/5630307421;Paris;75056;Paris;75
Openstreetmap;;;Non;;Toilettes publiques;;;48.8512258997292, 2.3434424;node/5789655355;Paris;75056;Paris;75
Openstreetmap;;Gratuit;;;Toilettes publiques;;;48.989102699695, 2.2610211;node/624624583;Ermont;95219;Val-d'Oise;95
Openstreetmap;;;;;Toilettes publiques;;;48.977073899698, 2.0167198;node/6579623767;Triel-sur-Seine;78624;Yvelines;78
Openstreetmap;;;Non;Boui-Boui;Toilettes dans un bâtiment recevant du public;Mo-Sa 11:30-14:30,19:00-21:30;;48.8094107997396, 2.3285086;node/7855054314;Arcueil;94003;Val-de-Marne;94
Openstreetmap;;;;;Toilettes publiques;;;48.8648112997259, 2.5764773;node/9230044892;Gournay-sur-Marne;93033;Seine-Saint-Denis;93
Openstreetmap;;;;;Toilettes publiques;;;48.717750855811, 2.36709252105149;way/424487553;Paray-Vieille-Poste;91479;Essonne;91
Openstreetmap;;Gratuit;Oui;;Toilettes publiques;;;48.7979418250559, 2.35339166017167;way/993410185;Villejuif;94076;Val-de-Marne;94
Openstreetmap;Oui;Gratuit;;;Toilettes publiques;;;48.8055151997406, 2.4968445;node/1157804831;Saint-Maur-des-Fossés;94068;Val-de-Marne;94
Openstreetmap;Oui;Gratuit;Oui;;Toilettes publiques (Toilettes assises);;;48.839906599732, 2.3277394;node/5796005555;Paris;75056;Paris;75
Openstreetmap;Oui;Gratuit;Oui;;Toilettes publiques (Toilettes assises);;;48.8216211997366, 2.3758928;node/8121124450;Paris;75056;Paris;75
Openstreetmap;Oui;Gratuit;;;Toilettes publiques;;;48.8340554997393, 2.48425799999913;way/120417590;Nogent-sur-Marne;94052;Val-de-Marne;94
Openstreetmap;Oui;Gratuit;Non;;Toilettes publiques (Toilettes assises);;;48.5834883250657, 2.80615701462626;way/176175912;Champeaux;77082;Seine-et-Marne;77
Openstreetmap;;Gratuit;Non;;Toilettes publiques;;Oui;48.8193865561889, 2.31982483378094;way/758726321;Montrouge;92049;Hauts-de-Seine;92
Autres;;Gratuit;Oui;;TOILETTES;;Non;48.87669393738172, 2.3931583796208193;;Paris;75056;Paris;75
Autres;;Gratuit;Oui;;SANISETTE;6 h - 22 h;;48.858817494127436, 2.3893212202570355;;Paris;75056;Paris;75
Autres;;Gratuit;Oui;;SANISETTE;6 h - 22 h;;48.83257405441341, 2.3114191795653407;;Paris;75056;Paris;75
Autres;;Gratuit;Non;;TOILETTES;;Non;48.83197962734259, 2.3777156678661813;;Paris;75056;Paris;75
Openstreetmap;;Gratuit;Non;;Toilettes publiques;;;48.7962101997429, 2.3343824;node/10042412098;Cachan;94016;Val-de-Marne;94
Openstreetmap;;;;;Toilettes publiques;;;48.7036995997658, 2.0439235;node/10777397539;Chevreuse;78160;Yvelines;78
Openstreetmap;;Gratuit;Oui;;Toilettes publiques (Toilettes assises);;;48.8212401997366, 2.3690202;node/1369995269;Paris;75056;Paris;75
Openstreetmap;;;;Relais Total Des Oziers;Toilettes dans un bâtiment recevant du public;24/7;;49.0482407996804, 2.1329751;node/25210247;Saint-Ouen-l'Aumône;95572;Val-d'Oise;95
Openstreetmap;;;;;Toilettes publiques;;;48.7012459997664, 2.1324107;node/3378843551;Gif-sur-Yvette;91272;Essonne;91
Openstreetmap;;Gratuit;Oui;;Toilettes publiques;;Oui;49.0024352996917, 2.5850764;node/6538894203;Le Mesnil-Amelot;77291;Seine-et-Marne;77
Autres;;Gratuit;Oui;;SANISETTE;6 h - 22 h;;48.88068024151084, 2.400408793867481;;Paris;75056;Paris;75
Autres;;Gratuit;Oui;;SANISETTE;6 h - 22 h;;48.868918364703134, 2.340626395084106;;Paris;75056;Paris;75
Openstreetmap;;Gratuit;Oui;;Toilettes publiques;;;48.8355978997331, 2.3155753;node/1369995306;Paris;75056;Paris;75
Openstreetmap;;;Non;French Dodo;Toilettes dans un bâtiment recevant du public;;;48.8131799997386, 2.3197973;node/1512693745;Montrouge;92049;Hauts-de-Seine;92
Openstreetmap;;;;Corso;Toilettes dans un bâtiment recevant du public;Mo-Su 08:00-01:00;;48.8818764997216, 2.345345;node/2483387635;Paris;75056;Paris;75
Openstreetmap;;;Non;Chez Alphonse;Toilettes dans un bâtiment recevant du public;;;48.8267958997353, 2.3271211;node/2901750233;Paris;75056;Paris;75
Openstreetmap;;;Non;Le Baol;Toilettes dans un bâtiment recevant du public;;;48.811908199739, 2.3309866;node/3032392456;Arcueil;94003;Val-de-Marne;94
Openstreetmap;;Gratuit;Oui;;Toilettes publiques;;;48.8825401997215, 2.7089145;node/3574955093;Thorigny-sur-Marne;77464;Seine-et-Marne;77
Openstreetmap;;;;BP;Toilettes dans un bâtiment recevant du public;24/7;;48.6310820997838, 2.4173369;node/3893150830;Évry-Courcouronnes;91228;Essonne;91
Openstreetmap;;Gratuit;Oui;;Toilettes publiques (Toilettes assises);24/7;;48.8539774997285, 2.3697059;node/514430582;Paris;75056;Paris;75
Openstreetmap;;Gratuit;Oui;;Toilettes publiques;;;48.8568074997278, 2.3541182;node/529119012;Paris;75056;Paris;75
Openstreetmap;;Gratuit;Oui;;Toilettes publiques;;;48.8453219997307, 2.337745;node/549581636;Paris;75056;Paris;75
Openstreetmap;;;Oui;;Toilettes publiques;;;48.7534715997535, 2.5054076;node/6067233421;Boissy-Saint-Léger;94004;Val-de-Marne;94
Openstreetmap;;Gratuit;Oui;;Toilettes publiques;;;48.8700484997246, 2.3293463;node/689143311;Paris;75056;Paris;75
Openstreetmap;;Payant;Non;;Toilettes publiques;;;48.8475205997301, 2.3384242;node/765666860;Paris;75056;Paris;75
Openstreetmap;;;Non;Apu;Toilettes dans un bâtiment recevant du public;;;48.8725447997239, 2.3436645;node/7896760272;Paris;75056;Paris;75
Openstreetmap;;Gratuit;Non;;Toilettes publiques;;;48.8941507997186, 2.3862368;node/8224008317;Paris;75056;Paris;75
Openstreetmap;;;Oui;;Toilettes publiques;;;48.8826383465789, 2.48138777111647;way/1226535884;Rosny-sous-Bois;93064;Seine-Saint-Denis;93
Openstreetmap;;;;Centre commercial Okabé;Toilettes dans un bâtiment recevant du public;"Mo-Sa 08:30-22:00; Su 08:30-12:30";;48.8115743698363, 2.36286161810239;way/153989918;Le Kremlin-Bicêtre;94043;Val-de-Marne;94
Openstreetmap;;Gratuit;Oui;;Toilettes publiques;;;48.8187400881571, 2.36031235970394;way/62376396;Paris;75056;Paris;75
Openstreetmap;;;;;Toilettes publiques;;;48.9072950312157, 2.31592577985777;way/74474582;Clichy;92024;Hauts-de-Seine;92
Openstreetmap;;;Oui;;Toilettes publiques;;;48.7080033570404, 2.46263167039164;way/992439991;Montgeron;91421;Essonne;91
Autres;Oui;Gratuit;Oui;Station RER A - Nanterre - Prefecture - A proximité du point de vente - information;Toilette publique  RATP_x000D_;;;48.8971999, 2.222709;;Nanterre;92050;Hauts-de-Seine;92
Openstreetmap;Oui;Gratuit;Oui;;Toilettes publiques;;;48.8725354997239, 2.3265199;node/2392183455;Paris;75056;Paris;75
Openstreetmap;Oui;Gratuit;Oui;;Toilettes publiques;;;48.4451744998297, 2.6031789;node/3709730143;Barbizon;77022;Seine-et-Marne;77
Openstreetmap;Oui;;;;Toilettes publiques;;;48.7164054997627, 2.2520478;node/4682487335;Palaiseau;91477;Essonne;91
